local_code,gu,dong,,local_code,구 ,동,,,,
1111052,종로구,청운효자동,,1111054,종로구,삼청동,,,1111060,종로구
1111053,종로구,사직동,,1111064,종로구,이화동,,,1111068,종로구
1111054,종로구,삼청동,,1111071,종로구,숭인2동,,,1114054,중구
1111055,종로구,부암동,,1114055,중구,명동,,,,
1111056,종로구,평창동,,,,,,,,
1111057,종로구,무악동,,,,,,,,
1111058,종로구,교남동,,,,,,,,
1111060,종로구,가회동,,,,,,,,
1111062,종로구,종로1.2.3.4가동,,,,,,,,
1111063,종로구,종로5.6가동,,,,,,,,
1111064,종로구,이화동,,,,,,,,
1111065,종로구,혜화동,,,,,,,,
1111067,종로구,창신1동,,,,,,,,
1111068,종로구,창신2동,,,,,,,,
1111069,종로구,창신3동,,,,,,,,
1111070,종로구,숭인1동,,,,,,,,
1111071,종로구,숭인2동,,,,,,,,
1114052,중구,소공동,,,,,,,,
1114054,중구,회현동,,,,,,,,
1114055,중구,명동,,,,,,,,
1114057,중구,필동,,,,,,,,
1114058,중구,장충동,,,,,,,,
1114059,중구,광희동,,,,,,,,
1114061,중구,을지로동,,,,,,,,
1114062,중구,신당동,,,,,,,,
1114063,중구,다산동,,,,,,,,
1114064,중구,약수동,,,,,,,,
1114065,중구,청구동,,,,,,,,
1114067,중구,동화동,,,,,,,,
1114068,중구,중림동,,,,,,,,
1117051,용산구,후암동,,,,,,,,
1117052,용산구,용산2가동,,,,,,,,
1117053,용산구,남영동,,,,,,,,
1117056,용산구,청파동,,,,,,,,
1117057,용산구,원효로2동,,,,,,,,
1117058,용산구,효창동,,,,,,,,
1117059,용산구,용문동,,,,,,,,
1117063,용산구,한강로동,,,,,,,,
1117064,용산구,이촌2동,,,,,,,,
1117065,용산구,이태원1동,,,,,,,,
1117066,용산구,이태원2동,,,,,,,,
1117069,용산구,한남동,,,,,,,,
1117070,용산구,보광동,,,,,,,,
1120052,성동구,왕십리2동,,,,,,,,
1120054,성동구,왕십리도선동,,,,,,,,
1120055,성동구,사근동,,,,,,,,
1120056,성동구,행당1동,,,,,,,,
1120057,성동구,행당2동,,,,,,,,
1120058,성동구,응봉동,,,,,,,,
1120059,성동구,금호1가동,,,,,,,,
1120062,성동구,금호2.3가동,,,,,,,,
