"signgu","rpt_total","rpt_youthcrime","rpt_violence","cnt_danran","cnt_motel","cnt_accm_living","cnt_adultgame","cnt_bar","cnt_accm_travel","cnt_yuheung","cnt_club","cnt_bell"
"강남구",914,877,37,205,2,4,2,1976,1,166,52,2817
"강동구",1256,1195,61,88,1,0,15,653,1,110,6,2271
"강북구",817,778,39,86,0,1,28,632,1,64,8,49
"강서구",1789,1717,72,159,0,0,15,954,0,127,4,2080
"관악구",961,917,44,80,0,2,64,952,0,186,16,2226
"광진구",1026,984,42,71,0,3,7,834,0,14,5,1866
"구로구",943,907,36,73,0,2,49,714,1,32,5,1276
"금천구",576,548,28,68,0,1,15,467,1,46,4,1639
"노원구",1463,1395,68,40,0,0,9,590,1,18,5,123
"도봉구",945,898,47,44,0,0,16,384,2,20,4,487
"동대문구",692,649,43,78,0,1,16,623,0,65,8,1495
"동작구",787,765,22,35,0,2,4,574,0,46,0,2215
"마포구",714,678,36,64,0,35,2,1928,15,49,51,1610
"서대문구",662,638,24,42,1,5,5,637,2,27,4,914
"서초구",469,450,19,85,1,16,8,921,3,42,23,535
"성동구",621,603,18,37,0,2,15,568,0,22,0,1777
"성북구",1042,1006,36,47,2,2,12,582,1,8,5,1971
"송파구",1505,1431,74,139,2,2,10,1133,0,85,7,1634
"양천구",975,916,59,64,0,0,6,572,1,4,0,1318
"영등포구",724,694,30,194,0,5,17,980,3,135,12,2193
"용산구",321,305,16,91,0,16,0,1068,6,21,48,1879
"은평구",2502,2431,71,129,0,2,19,688,0,78,6,1597
"종로구",126,118,8,103,1,22,17,906,5,178,3,118
"중구",324,307,17,60,1,20,7,755,10,213,4,1142
"중랑구",1535,1473,62,94,1,0,9,686,0,17,2,1702
