"signgu","sido","rpt_total","rpt_youthcrime","rpt_violence","cnt_danran","cnt_motel","cnt_accm_living","cnt_adultgame","cnt_bar","cnt_accm_travel","cnt_yuheung","cnt_club","cnt_bell"
"가평군","경기도",23,19,4,9,2,36,8,67,52,61,1,149
"강남구","서울특별시",914,877,37,205,2,4,2,1976,1,166,52,2817
"강동구","서울특별시",1256,1195,61,88,1,0,15,653,1,110,6,2271
"강릉시","강원도",381,340,41,93,4,87,9,567,34,208,8,67
"강북구","서울특별시",817,778,39,86,0,1,28,632,1,64,8,49
"강서구","부산광역시",126,113,13,15,0,6,1,165,3,17,1,2179
"강서구","서울특별시",1789,1717,72,159,0,0,15,954,0,127,4,2179
"강진군","전라남도",27,24,3,5,1,1,7,59,1,31,0,13
"강화군","인천광역시",43,38,5,18,1,0,0,67,0,18,0,218
"거제시","경상남도",540,486,54,62,20,35,3,506,22,324,12,99
"거창군","경상남도",140,133,7,13,3,1,0,64,0,40,1,50
"경산시","경상북도",342,334,8,4,1,2,8,315,1,94,1,161
"경주시","경상북도",177,162,15,90,12,112,26,446,148,191,1,99
"계룡시","충청남도",121,120,1,3,5,2,0,35,1,18,0,0
"계양구","인천광역시",945,878,67,65,1,0,19,428,1,96,3,197
"고령군","경상북도",13,13,0,5,1,0,0,25,2,9,0,0
"고성군","강원도",14,13,1,13,0,47,4,29,23,19,4,29
"고성군","경상남도",68,61,7,7,12,0,3,61,0,67,1,29
"고양시 덕양구","경기도",1251,1201,50,55,0,1,15,460,2,44,6,56
"고양시 일산동구","경기도",682,655,27,34,2,3,4,597,0,12,3,69
"고양시 일산서구","경기도",861,834,27,8,1,2,3,241,1,16,3,36
"고창군","전라북도",46,38,8,5,4,0,0,42,1,27,1,142
"고흥군","전라남도",33,29,4,43,2,0,2,102,1,36,2,49
"곡성군","전라남도",9,7,2,4,4,1,0,23,0,5,0,23
"공주시","충청남도",128,112,16,28,23,6,2,134,1,56,0,79
"과천시","경기도",69,62,7,2,0,0,0,27,0,0,0,293
"관악구","서울특별시",961,917,44,80,0,2,64,952,0,186,16,2226
"광명시","경기도",1300,1253,47,63,0,0,8,369,1,142,4,137
"광산구","광주광역시",1036,1000,36,143,26,2,50,870,1,178,6,215
"광양시","전라남도",223,192,31,33,17,4,22,405,1,217,1,100
"광주시","경기도",644,606,38,41,2,0,9,342,7,34,4,1183
"광진구","서울특별시",1026,984,42,71,0,3,7,834,0,14,5,2011
"괴산군","충청북도",9,9,0,9,4,0,1,25,2,8,0,0
"구례군","전라남도",9,5,4,17,3,6,0,25,0,21,4,46
"구로구","서울특별시",943,907,36,73,0,2,49,714,1,32,5,1276
"구리시","경기도",599,576,23,61,0,0,8,381,1,184,7,22
"구미시","경상북도",799,773,26,35,9,1,51,709,1,260,12,42
"군산시","전라북도",483,427,56,62,17,2,7,591,2,227,12,59
"군위군","경상북도",3,2,1,2,1,0,0,8,0,8,2,0
"군포시","경기도",598,581,17,47,0,1,8,369,0,97,2,1256
"금산군","충청남도",65,51,14,2,11,2,0,41,0,21,0,18
"금정구","부산광역시",404,399,5,136,0,2,6,422,0,84,6,11
"금천구","서울특별시",576,548,28,68,0,1,15,467,1,46,4,1639
"기장군","부산광역시",346,329,17,33,2,10,3,244,24,53,2,81
"김제시","전라북도",77,67,10,10,9,2,4,90,0,35,1,2
"김천시","경상북도",138,134,4,16,12,2,2,129,1,114,1,25
"김포시","경기도",1477,1400,77,39,9,0,13,557,2,130,6,1300
"김해시","경상남도",1559,1392,167,93,7,1,9,814,2,647,8,388
"나주시","전라남도",115,93,22,27,4,2,5,150,2,61,3,0
"남구","부산광역시",461,445,16,67,0,1,2,437,0,43,6,938
"남구","울산광역시",1122,1038,84,251,1,1,28,930,0,518,27,938
"남구","대구광역시",218,211,7,31,0,1,6,211,0,89,4,938
"남구","광주광역시",316,300,16,34,1,1,9,389,0,9,4,938
"남동구","인천광역시",2191,1997,194,80,4,0,22,895,1,198,11,83
"남양주시","경기도",2246,2151,95,51,8,0,9,737,6,96,0,812
"남원시","전라북도",209,187,22,16,4,4,3,99,1,63,1,6
